Pathway,Pathway Description,Competency Cluster,Competency Cluster Description,Competency,Competency Description,Competency Required Level,Competency Assessment,Competency Attainment Score,Competency Level,Competency Level Description,Competency Level Type,Competency Level Content
Unapologetically Ambitious,"Unapologetically Ambitious by Shellye Archambeau ""lays out key takeaways and actions to increase the odds of achieving your personal and professional goals.""",Career & Life Planning,,Build a Life Plan,Explain the elements and importance of developing a life plan.,Knowledge,f8ac31c3-7fa2-4d7b-a77c-37e1d0ef76df,80,Life Plan Key Concepts,,Knowledge,"<h2>Life Plan Key Concepts</h2>
<div id=""introduction-section"">
<h3>Introduction</h3>
<p>In this section, you will learn about the foundational concepts and components of developing a life plan.</p>
</div>
<div id=""instructions-section"">
<h3>Instructions</h3>
<p>Watch the clip below featuring Shellye Archambeau, author of <em>Unapologetically Ambitious &nbsp;</em>and watch up to the 39 minute mark.</p>
<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/AfOrFUnYd7Q?start=2249"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<p>Once you have watched the clip, read pages 45-49 of <em>Unapologetically Ambitious</em> and focus on what the author teaches about life planning.</p>
<p>After reading through the recommended section of the book, watch the following TEDx clip featuring Shellye Archambeau about ""Knowing Your Power.""</p>
<iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/1hT8-Cy74Fc"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>
<h3>Review</h3>
<p>You should now have a basic grasps of the fundamental concepts of creating a life plan as per the instruction of author Shellye Archambeau.</p>
</div>
<div id=""call-to-action-section"">
<h3>Call to Action</h3>
<p>Start thinking about where you want to be ten, twenty, or even thirty years from now. Think about your future from both a professional and personal perspective.</p>
<p>Move forward with additional learning activities focused on planning and goal setting to learn how to turn your ambitions into an action plan.</p>
</div>"
,,,,Learn the Process,Outline the process for developing a life plan.,Knowledge,,,Life Plan Development Process,,Knowledge,
,,,,,,Knowledge,,,Life Plan Development Elements,,Knowledge,
,,,,Goal Setting,Explain goal setting and how to apply it to developing a life plan.,Skill,,,Goal Setting Key Concepts,,Knowledge,
,,,,,,Skill,,,Goal Setting Process,,Knowledge,
,,,,,,Skill,,,Goal Setting Implementation,,Skill,
,,,,Write Professional Goals,Illustrate a plan to achieve professional goals.,Skill,,,Achieving Professional Goals,,Knowledge,
,,,,,,Skill,,,Professional Goal Evaluation,,Skill,
,,,,Write Personal Goals,Illustrate a plan to achieve personal goals.,Skill,,,Achieving Professional Goals,,Knowledge,
,,,,,,Skill,,,Professional Goal Evaluation,,Skill,
,,,,Value Impact on Life Plan,Document personal and professional values and how they will impact the goal setting and life planning processes.,Skill,,,Define Values,,Knowledge,
,,,,,,Skill,,,Apply Values to Goals,,Skill,
,,,,Timeline,Develop a timeline to achieve a life plan.,Skill,,,Timeline Best-Practices,,Knowledge,
,,,,,,Skill,,,Life Plan Timeline,,Skill,
,,,,,,Skill,,,Professional Goals Timeline,,Skill,
,,,,,,Skill,,,Personal Goals Timeline,,Skill,
,,Doing Your Homework,,"""Homework"" Principles","Describe principles of ""doing homework"" to determine all elements of the personal planning process.",Knowledge,,,Personal Career Research,,Knowledge,
,,,,Research Planning,Articulate key factors in developing a research plan.,Knowledge,,,Define Research Factors,,Knowledge,
,,,,,,Knowledge,,,Identify Research Needs,,Knowledge,
,,,,,,Knowledge,,,Identify Research Contacts,,Knowledge,
,,,,Industry Targets,Research and identify industry targets for career goals.,Skill,,,Industries of Interest,,Knowledge,
,,,,,,Skill,,,Industry Validation,,Skill,
,,,,Profession Targets,Research and identify the profession to target for career goals.,Skill,,,Career Goal Concepts,,Knowledge,
,,,,,,Skill,,,Target Career Goals,,Skill,
